NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Nazareth,Uribia,La Guajira,7.059081782323605,6.938864212681741,6.580407755245094,5.524940357842073,5.6323664583222985,7.030260774040095,7.875380423534886,7.8671929490029235,6.8199746038262035,5.882224215626409,6.204055910525325,6.106979241282863,6.626810723687793
Ye La,Cienaga,Magdalena,8.861932247275865,8.658516971672894,7.655847130896219,7.1243602900930485,6.4801811774013744,6.780722216932365,6.705753405017921,6.776037791100906,6.126597985347987,6.378576976367503,7.20175913922738,8.188840245775731,7.244927131425766
Parque Tayrona,Santa Marta,Magdalena,6.564622492489767,6.013617093097443,5.815692816895541,4.917747265996604,4.870039223570138,5.344215927750409,6.093247126436782,6.0994735175836405,5.761590588898281,5.041180065762936,5.570058122866004,5.341302485360346,5.619398893892324
Cabana La Hda,Cumaral,Meta,5.701510183445962,5.052099998235056,3.592363579752345,3.490438245310421,3.4732122253021998,3.2559928656361476,3.3367046953239017,4.0124509181484616,4.81450782703886,4.8040007903223305,5.0521950224983705,5.623458416844795,4.350744563988237
Unillanos,Villavicencio,Meta,5.777182126049164,5.283695278877836,3.5235212818763166,3.529366533370843,3.7549897231623297,3.7661465890431405,3.788908214514444,4.183972488194163,4.72005287531801,4.913116232742063,5.015149288709683,5.520375268370064,4.481372991685672
Botana,Pasto,Narino,3.3772989909763904,3.332740799142356,2.582872798761105,2.760516659686351,2.9481825250711835,3.0864189016602803,3.7538416894771482,4.0920139277995675,3.9342199462946588,3.481466774762473,3.4960595595059614,2.7985098669303343,3.303678536672317
Sindagua,Tangua,Narino,3.9116202131673266,3.619000378931413,3.126423138572507,3.328761772959674,3.679569892473118,4.126405329081492,5.0565049128661474,5.1249037634408605,4.504890261586509,4.053070749571451,3.7699650174912547,3.750976658368204,4.00434100737583
Sta Isabel,Cucuta,Norte de Santander,4.985241194871028,4.8793664415187,4.205258920299854,4.274648411088573,5.494770642179336,5.907837012547965,6.615811409304341,6.881266154699291,6.482083488732897,5.76931738476224,5.163164206968555,4.309950944040947,5.414059684251144
Univ Fco P Santand,Ocana,Norte de Santander,5.814275510801475,5.321546294124292,4.042086397437481,3.5640975620803217,4.100943518846743,4.971668103448275,5.801220430107527,5.300886335346152,4.2241599688877365,4.245285249789143,3.9726022988505756,4.728029032258063,4.673900058498149
Mocoa Acueducto,Mocoa,Putumayo,3.2388839187152136,2.978579654312038,2.6080919659331574,2.6729660856384996,2.4477810361681325,2.2207196401799103,2.3758552802451827,2.952363438934073,3.599970014992504,3.794351916184175,3.6022187192118222,3.59148203946591,3.006938642498385
Villagarzon,Villagarzon,Putumayo,3.4477914053043452,2.8578449404019697,2.2253966818632636,2.47098742930122,2.2776869776960154,1.8439716449952144,2.264610482072937,2.828352962218229,3.4529861187053528,3.6826416763587693,3.6347852823309217,3.172005914634947,2.8465884596569317
Apto El Eden,Armenia,Quindio,5.458166383701188,5.217820197044334,4.5210526315789465,4.224736842105265,4.129032258064514,4.553385057471265,5.744354838709677,6.10774193548387,4.9640873015873,4.43276740237691,4.4940000000000015,4.816774193548387,4.888659920139305
Bella La,Calarca,Quindio,4.199665471923536,4.094622331691298,4.251254480286739,3.338888888888889,3.496774193548387,4.207037037037037,4.740143369175628,4.76415770609319,4.0122222222222215,3.214336917562724,3.578531289910601,4.211827956989247,4.009121822110791
Veracruz,Pereira,Risaralda,4.492504997714489,4.33370583226905,3.604348961240157,3.0826655719759173,3.1936046024854376,3.695482493241113,4.428460585836114,4.122601567879655,3.5549487542888256,3.407338742393509,3.6741300039635347,3.9721528644828346,3.796828748147553
Camelia La,Santuario,Risaralda,4.979551147365385,4.860316360303281,4.192781325042512,3.667177342118157,3.7715464112878485,4.189471628972035,5.570502301739788,5.564001922424244,4.565650421514738,3.50744401982886,3.6064912047260442,4.076533659715511,4.379288978753199
Apto El Embrujo,Providencia,San Andres Providencia y Sta C,7.480931899641576,8.231350061576352,8.687772177419356,8.934123084291189,7.575651881720431,6.5015424545791625,6.948559139784947,7.597324869267257,6.710802469135802,6.003374543313768,5.861917333743841,6.4636673870700925,7.249751441795315
Univ Ind Santander,Bucaramanga,Santander,5.929310759366861,4.332115848765419,3.289774993657671,3.5797536465685287,3.688948726121608,2.9632041310171986,3.843682898694022,3.8168696540142593,3.5849326765188834,3.5318050148312934,4.418794076038904,5.275740002118757,4.0212443689761175
Tinaga Gja,Cerrito,Santander,6.769603312025514,5.730465651237409,5.584954312215554,4.440185377236195,4.209323712507074,3.864268045592909,4.8540083972990455,4.6248065178240365,4.567576354679804,4.288359489185797,4.984220897070261,6.142638474058384,5.005034211744332
Primates,Coloso,Sucre,5.76555678213121,6.280068764543247,5.992689637487701,4.6474098843940235,3.862843437152391,4.281390914066776,4.889773854476519,4.4570449739681735,4.422455970082591,4.083197139456316,4.206779883672328,4.7775114846221625,4.805560227171119
Apto Rafael Barvo,Corozal,Sucre,7.5921720797246515,7.165337433622369,5.985777533877764,4.8448717948717945,4.5988980760515785,5.585763736263735,6.089632091212459,5.736880159241262,4.474596305086322,4.772173219443644,5.121874119331312,6.631814338748588,5.716649240622956
Cajamarca,Cajamarca,Tolima,5.1617067412120035,4.943464398288377,4.394887398017877,3.828051016938334,3.952876664462476,4.100018084143996,4.4027690467267835,4.309839632067011,4.3065141468323365,4.186013310310917,4.283585300945586,4.817270404237308,4.3905830120152505
Perales Hato Opia,Ibague,Tolima,5.895820797903565,5.186421813278577,4.5918281765794395,4.454814586149991,5.147932651887252,5.685441824151915,6.276789081594816,6.354827377387165,5.8336225141397575,5.1094867953979275,4.834415154950869,5.482766766566463,5.404513961665644
Bajo Calima,Buenaventura,Valle del Cauca,2.897956280278863,2.7556349199757246,2.451652659333416,2.706185331143951,2.6128586759538392,2.4914281476773135,2.759234291224523,2.734066498770319,2.2609755250579835,2.2707234480062715,2.540134357383783,2.748297420281521,2.6024289629239585
Univ del Valle,Cali,Valle del Cauca,5.434021792768466,5.188184323779807,4.973323540327618,4.5577237284158825,4.5837255967830215,5.162022441160372,5.958810271158188,5.990965656257379,5.0907277869002,4.548476291705657,4.5125616101414305,4.809880436315571,5.0675352896428
Cumaribo,Cumaribo,Vichada,7.569420098699277,7.170068150240564,5.609947196620583,4.5120153832858,3.901789503328213,3.6248463676658402,3.997346434309727,4.322680934113027,5.114575579273854,5.463494254570507,6.218758255792738,7.079270687237026,5.382017737094762
Apto Pto Carreno,Puerto Carreno,Vichada,8.445021179537306,8.157998208687864,7.219996741609645,5.732450980392155,4.622306067588324,4.1559595959595965,4.48717741935484,4.80664136622391,5.440505050505051,6.330846095362225,6.940882352941176,7.669354838709678,6.167428324739315
