NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Guayabito,Santo Domingo,Antioquia,5.416811973297626,5.001523093764474,3.990203287900371,3.99863910787205,4.524327956989247,5.600014036760421,6.35663712368582,6.221008647601278,4.8030555114148,3.9795197132616495,4.229801061007958,4.691898539593492,4.9011200044290995
Rio Claro,Sonson,Antioquia,4.79996095750128,4.287969253090763,3.294964456071053,4.1285723325206085,4.776477159365785,5.422149695828777,6.427671863048864,5.822955636237181,4.866858919441378,4.418799462498542,4.529095030129512,4.500673934056794,4.773012391649211
Nacional Gja La,Tamesis,Antioquia,6.3439559486645845,6.197571643599971,5.320604290103138,4.485527866318941,4.28917865728946,5.226887019010431,6.278049911327994,6.110362263184845,5.0674037416690805,4.268027437893957,4.672833927863655,5.400212186379927,5.305051241108832
Matanzas,Toledo,Antioquia,5.033333333333332,5.2869663382594405,3.68431899641577,3.591666666666667,3.3575268817204305,3.655,4.001612903225806,3.6832258064516123,3.631904761904762,4.0209677419354835,4.242222222222222,4.613978494623656,4.066893678896599
Honda La,Urrao,Antioquia,5.252751749889639,4.979613129791546,3.991369593848984,3.5627763940096275,3.763695388775242,3.879148938758134,4.477491883095801,4.7240609815269465,3.8423538549241925,3.821269327070027,3.973636830152044,4.46569483067606,4.227821908543188
Urrao,Urrao,Antioquia,5.8105045916195355,5.554112023914782,5.050267404700107,4.1673639940306595,4.409516129032259,5.2813427882658655,5.736641852770886,5.539686953758145,4.411345253299276,4.107593016239377,4.400248337369776,4.970463506028022,4.95325715425239
Sta Isabel,Valdivia,Antioquia,3.960181806029313,3.5828913030729526,2.9829883217667845,2.7678934265586097,3.3324037460978144,3.8070037251150106,4.67193612083481,4.471127184139784,3.774699696371588,3.4293228115558483,4.046504804476068,3.9017860202268166,3.7273949138537836
Vegachi,Vegachi,Antioquia,5.813064516129032,5.202399425287356,3.9373948311639313,4.187487287058226,4.601629764290107,5.593526170798897,6.301244623655913,6.298775388291516,5.308554421768708,4.806290322580645,4.825849206349206,5.161443932411674,5.169804990815434
Rosario El,Venecia,Antioquia,5.6812903225806455,5.691182266009852,5.447096774193548,4.6459629629629635,4.750645161290324,6.189333333333333,7.048709677419356,6.374096774193548,5.20191954022989,3.969221357063403,4.402,5.692010752688172,5.424455743497085
Apto Arauca,Arauca,Arauca,8.753173777315297,8.10158118979031,6.484569892473116,5.351473302757487,4.921856468873463,4.588095238095238,4.709084287200833,5.2847071625477575,5.903543096091482,6.4588886919532085,7.006769820218096,8.02836281651058,6.299342145318906
Saravena,Saravena,Arauca,5.1528345614957125,4.1870131520465215,2.906435879158166,2.7473916163385326,3.2405800090713877,3.208380996168583,3.804068338811556,4.150632123120743,4.76786007041093,5.031809897452278,4.971936916616177,4.94969976738576,4.093220277339696
Flores Las,Barranquilla,Atlantico,7.908402917349935,7.759763591852302,7.097892702804841,6.533910879251269,5.72034066126568,6.317818202243416,6.795927777673916,6.775265126827732,5.901649543578115,5.511471146939392,6.2849674592528295,6.996636829666633,6.633670569892171
Normal Manati,Manati,Atlantico,7.911801204646896,7.427973162168976,6.361574508246201,5.60669451283184,5.116846514245022,5.51153657303288,6.260818626435979,6.101778953484266,4.9744805872835425,4.816791514833786,5.287451111321049,6.7349677119197695,6.009392915037517
Repelon,Repelon,Atlantico,8.33943030409524,8.022873712093569,7.069329906972058,5.953109949547216,5.2090866903564885,5.836685908897403,6.433480402655816,6.125604164581999,5.1052565648957735,4.825420647405265,5.6249906169364285,7.067570217271471,6.30106992380906
A.E Cortissoz,Soledad,Atlantico,9.152016129032257,8.778778007309711,7.866989247311827,6.9807971820541335,6.101656508597194,6.668227660363366,7.0081044071957335,6.717669788414845,5.685810344827587,5.449121245828698,6.189321839080459,7.9492918057100495,7.0456486804771545
